Course Name,Course Code,Rec. Grade,Factor,AP Credit,DCC Credit,UAlbany Credit,Pre-Requiesites,Graduation Requirement,Subject,High School Credits,Cost,Cost Optional?,Semester,2025-2026 Period,2024-2025 Periods,2023-2024 Periods,2022 - 2023 Periods ,Description
Precalculus Dual,64,11,9,0,6,0,4 OR 5 OR 6,Math,Math,,$218,Yes,A,,,,,"This course is intended primarily for college bound students. Topics include a study of functions, specifically: linear, polynomial, rational, trigonometric, exponential, logarithmic, and inverse functions. Modeling, data analysis, conics and matrices are also explored. Conceptual understanding is emphasized and algebraic skills are reinforced throughout the course."
Precalculus Honors,65,11,9,0,0,0,4 OR 5 OR 6,Math,Math,,N/A,N/A,A,,,,,"This course covers Precalculus and introductory Calculus topics. The majority of the course focuses on the concept of functions - including the study of linear, exponential, logarithmic, power, trigonometric and polynomial functions - and how they allow us to model the world around us. Students will learn to choose a combination of algebraic, graphical, and numerical methods, depending on which of these tools best fits the situation. They will also develop the algebraic and graphing calculator skills prerequisite for success in Calculus. Calculus topics include limits, definition of the derivative and rules of differentiation. "
Principles of Chemistry I and II,66,10,7,0,0,0,0,None,Science,,N/A,N/A,A,,,,,Principles of Chemistry is a two-semester survey course that considers current topics in Chemistry. Students will develop presentation skills when reporting their findings for research and laboratory activities. Principles of Chemistry is a hands-on course designed for students who have successfully completed Regents Biology and/or Earth Science.
Principles of Engineering,67,10,9,0,0,0,0,None,Science,,N/A,N/A,A,,,,,"Principles of Engineering (POE) is an honors level engineering course that exposes students to the different possibilities available to them in the engineering field. Topics tend to be more mathematical in nature than IED, and include parts of mechanics, material properties, electronics, automation, and computer programming. Students will also be required to maintain an engineering notebook as part of the course. "
Principles of Physical Science I and II,68,10,7,0,0,0,0,None,Science,,N/A,N/A,A,,,,,"Principles of Physical Science is a two-semester survey course that considers current topics in Physics, Earth Science and Environmental Science. Students will develop presentation skills when reporting their findings for research and laboratory activities. Principles of Physical Science is a hands-on course designed for students who have successfully completed Regents Biology and/or Earth Science. "
Programming 1,69,9,8,0,0,0,0,Computer Science,Computer,,N/A,N/A,F,,,,,"This course is designed to introduce students to the breadth of the field of computer science. Using problem solving techniques, algorithms and pseudocode, the course begins with a focus on the conceptual ideas of computing. Students then learn about web design and consider the associated societal and ethical issues. Finally, students receive an introduction to JavaScript through block coding and simple game design."
Programming 2,70,9,8,0,0,0,69,Computer Science,Computer,,N/A,N/A,S,,,,,"This course explores a deeper understanding of algorithms and computer languages. As an intermediate programming class, students will use JavaScript to program circuit boards. Students will then continue on to animation software and text based coding through action script game design. Students will then learn the Python language including graphic user interface (GUI) development. "
Psychology,71,11,8,0,0,0,0,None,Social Studies,,N/A,N/A,A,,,,,This course is a study of some of the basic principles of psychology. This course will also include an examination of current applications in contemporary psychology. The Psychology course will conclude with a locally developed department wide examination.
Public Speaking Dual,72,11,9,0,3,0,0,None,English,,$218,Yes,A,,,,,"This course is a dual enrollment course. While fulfilling elective credit at Spackenkill, students also have the opportunity to earn three college credits through Dutchess Community College. The course is devoted to the study of oral communication as it relates to the speaker, her/his purpose, subject, outline, presentational aids, delivery, and audience. The first part of the course emphasizes the theory of public speaking, while the latter part is concerned with the analysis, preparation, and performance in the areas of informative, demonstrative, persuasive, and occasional speaking. The majority of the class will focus on the development and delivery of public speeches. "
Science Research,73,10,9,0,0,10,0,None,Science,,$90,Yes,A,,,,,"Science Research is a three-year program set forth by the University in the High School Science Research program offered through SUNY Albany. The program is for students who want to explore an independent research topic. Students selecting this course should be self-motivated, curious, and independent learners. Students enrolled in this program the first year will receive 0.5 credit (factor 9)."
Sociology,74,11,8,0,0,0,0,None,Social Studies,,N/A,N/A,B,,,,,"Analysis and discussion of relevant findings about human behavior, including such topics as peer pressure, family, marriage, society and other institutions."
Spanish 1,75,8,8,0,0,0,0,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"This is an introductory course designed to accustom the student to both the oral and written language, emphasizing listening and speaking skills, as well as developing reading and writing skills. The primary goal is to have students achieve functional communication in the second language. Students will also learn elementary grammatical and syntactical structures. Tapes are used in conjunction with the text, along with other authentic materials, to vary and expand the students’ exposure. All of the above is taught with frequent reference to the arts, history, lifestyles and traditions of Spain and Hispanic America. "
Spanish 2,76,9,8,0,0,0,75,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"Students in this course have satisfactorily completed two years of Spanish 1 in the middle school or one year of Spanish 1 in the high school. The emphasis is on continued oral proficiency, grammar fundamentals and reading skill. Many more verb tenses are added to those learned in Spanish 1 while vocabulary is increased to augment conversational and reading ability. The student’s listening comprehension is enhanced by the use of tapes which accompany the text. Hispanic culture is an integral part of the curriculum. "
Spanish 3,77,10,8,0,0,0,76,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"Grammar principles presented in Spanish 2 are reviewed and more advanced grammatical constructions are introduced. In addition, students increase their vocabulary and cultural awareness through the use of reading selections and other authentic materials which are featured in the textbook. Emphasis is also placed on writing of letters and compositions, as well as speaking and reading comprehension in preparation for the Comprehensive exam in June."
Spanish 4H,78,11,9,0,0,0,77,Foreign Language,Foreign Language,,N/A,N/A,A,,,,,"Spanish 4 is an Honors course which is conducted almost entirely in Spanish. Students are expected to participate in class discussions every day and are judged on their individual level of improvement. Reading includes authentic texts drawn from newspapers, magazines, online periodicals and literature in Spanish. These readings provide students with colloquial vocabulary and a variety of practical, up-to-date topics for class discussions and creative writing and compositions. Other grammatical topics are tailored to the needs of the students as determined by their composition work and communicative skills. "
Spanish 5AP (Advanced Placement),79,12,10,1,0,0,78,Foreign Language,Foreign Language,,No',No,A,,,,,"Spanish 5H/AP is a college-level course conducted almost entirely in Spanish. The course material is organized by themes identified by the College Board. Students are required to read authentic texts from a variety of real-world sources including non-fiction and fiction, listen to broadcasts and watch videos in Spanish, write well-organized essays, and do several oral presentations in class. As part of the coursework, students are expected to participate fully in class discussions, seek out and report on articles from Spanish-language periodicals and web-sites, as well as prepare for regular in-class quizzes and examinations. Vocabulary enrichment and grammar accuracy are stressed throughout the year as necessary tools for correct expression in Spanish. Students are exposed to the culture of Spanish-speaking areas and countries around the world. "
String Ensemble Honors,80,10,9,0,0,0,0,Fine Arts,Music,,N/A,N/A,A,,,,,"Students will meet music standards by performing music literature of the most advanced level, as suggested by New York State School Music Association In addition to performance, emphasis will be on learning modes, advanced scales in all octaves, improvisation, composition, advanced music theory and chamber music. This is a course for highly advanced players who have mastered the basic fundamental musical skills of playing a stringed instrument. Students should be performing at a NYSSMA solo level 5-6. Students will be assessed based on the demonstration of proper technique and performance on their instrument, including written tests and playing exams. This course will culminate in a locally developed exam."
Studio in Art,81,9,8,0,0,0,0,Fine Arts,Art,1,N/A,N/A,A,,,,,"Studio in Art is a foundation course that explores a wide variety of two dimensional and three dimensional media as well as basic art principles and modes of expression. It is the aim of the course to develop a genuine appreciation and sensitivity toward beauty, through the student's own experiments in this multimedia program. Students will develop a portfolio of work and must pass a comprehensive final exam. Students headed toward a Regents sequence in Art should declare their intentions while enrolled in Studio in Art."
"Studio In Ceramics",82,9,8,0,0,0,81 OR 83,Fine Arts,Art,1,N/A,N/A,A,,,,,"This class is designed for students who are interested in learning all the basic aspects of creating with clay. Students will build functional and sculptural pieces using a variety of techniques. Hand building, the potter’s wheel and slip casting will be learned along with glazing and surface decoration."
Studio in Design,83,9,8,0,0,0,0,,,,N/A,N/A,A,,,,,
Studio in Drawing & Painting,84,9,8,0,0,0,81  OR 83,Fine Arts,Art,1,N/A,N/A,A,,,,,This is an advanced course that may be elected by a student who has completed Studio in Art or Design & Drawing for Production and desires to participate in advanced study in the area of drawing and painting. This course introduces the student to a wide variety of experiences in these media before he/she selects a particular medium for concentrated effort.
The Physical Setting: Chemistry (Honors),85,10,9,0,0,0,56 OR 57,Regents Science,Science,,N/A,N/A,A,,,,,"This course is faster-paced and more in-depth than Regents Chemistry. The course will better prepare the student for an A.P. Chemistry course. Topics are generally treated more mathematically than in Regents Chemistry. This course satisfies one of the sequence requirements for an Advanced Regents Diploma. This course should be selected by highly motivated science students who are planning to continue in the study of the sciences, including taking the A.P. course in Chemistry, or preparing to be science majors in college."
The Physical Setting: Chemistry (Regents),86,10,8,0,0,0,56 OR 57,Regents Science,Science,,N/A,N/A,A,,,,,This course is designed for all college bound students who have completed Regents Biology or are concurrently taking Regents Biology. It is an integral part of the four year science program and satisfies one of the sequence requirements for a Regents diploma.
The Physical Setting: Physics (Honors),87,11,9,0,0,0,(56 OR 57) AND (4 OR 8),Regents Science,Science,,N/A,N/A,A,,,,,This course is designed for college bound students who have completed Regents Biology and Regents Chemistry. It is an integral part of the four year science program and satisfies one of the sequence requirements for a Regents Diploma.
The World of Sports Through its Literature,88,10,8,0,0,0,0,None,English,,N/A,N/A,A,,,,," This course is an examination of sports, both amateur and professional, from the perspectives of sports columnists, commentators and contemporary authors. Readings will cover fiction and non-fiction, including biographies and commentaries, through which students will develop an awareness of sports as a source of literary thought and artistic writing as well as a chronicle and reflection of society. Writing will be descriptive, critical and personal. The course will require assigned readings and writing and may include a research project and/or a presentation and will have a final assessment. "
Trigonometry,89,11,8,0,0,0,4 OR 8,Math,Math,,N/A,N/A,A,,,,,"This course is an alternative to Common Core Algebra II or Common Core Geometry for those students who have completed Integrated Algebra or Common Core Algebra I. It is recommended that the college-bound student choose this course as part of their third year of study to prepare them for basic college math requirements. Topics will include right triangle trigonometry, the unit circle, radians, trigonometric functions and notation, identities, solving trigonometric equations, graphing trigonometric functions, and the Laws of Sines and Cosines. There will be an emphasis on applications of these topics to real life situations. Technology will be used extensively throughout the course. The course will conclude at the end of the semester with a comprehensive final exam."
United States History and Government 11,90,11,8,0,0,0,0,Humanities,Social Studies,,N/A,N/A,A,,,,,Grade 11 is a chronologically organized course in United States History and Government. The course begins with colonial foundations and concludes with contemporary events and issues. Constitutional and legal issues are developed as well as issues of international involvement. Students are required to pass the Regents exam in US History and Government.
World Literature,91,12,8,0,0,0,14 OR 27,English Language,English,,N/A,N/A,A,,,,,"The literature in this course focuses on the individual and his/her role in society – past, present and future. Students read rigorous texts, conduct research and practice skills necessary for college and career readiness. Students are encouraged to actively engage with the text and respond to the literature in writing. "
